order_id,customer_id,order_date,total_amount,status
0,6099,2024-01-10,821.3179753150291,Pending
1,7053,2024-02-12,980.6578571263551,Shipped
2,6471,2024-03-09,281.42642984537565,Delivered
3,12247,2024-11-18,827.3071751626236,Cancelled
4,13609,2024-10-11,507.2073419075829,Delivered
5,1081,2024-01-02,801.2288883555439,Cancelled
6,6531,2024-12-03,614.7212365185572,Cancelled
7,15913,2024-01-14,847.7229671200907,Delivered
8,12540,2024-03-02,403.37228339015235,Pending
9,13763,2024-02-24,989.248375048278,Pending
10,14857,2024-01-29,227.0385994245946,Delivered
11,6050,2024-09-17,675.8834595348081,Delivered
12,10097,2024-08-25,804.5528918716515,Delivered
13,3917,2024-07-15,589.8957715011153,Shipped
14,16435,2024-02-08,297.39237950459585,Cancelled
15,1782,2024-05-30,565.686113091489,Pending
16,1293,2024-08-10,509.66037313605136,Cancelled
17,934,2024-09-08,198.22029070283435,Cancelled
18,14920,2024-09-28,765.5712794312813,Pending
19,4691,2024-08-06,274.5161434482282,Delivered
20,15170,2024-08-31,833.7908394643098,Shipped
21,16882,2024-05-19,222.17653321325153,Shipped
22,15145,2024-01-13,507.2935550750783,Pending
23,16853,2024-05-01,698.2664098460466,Shipped
24,11495,2024-05-05,995.872446149407,Pending
25,1672,2024-04-19,278.2799510026895,Delivered
26,9085,2024-05-31,639.2540257954076,Shipped
27,16847,2024-08-07,161.82368910034486,Delivered
28,13886,2024-10-19,821.443712200644,Delivered
29,7508,2024-12-12,862.8310471847913,Delivered
30,328,2024-06-12,889.0773466146244,Cancelled
31,13707,2024-03-13,946.0788691230141,Pending
32,9331,2024-01-15,362.12482985815456,Delivered
33,1009,2024-11-10,669.7809714219495,Pending
34,8666,2024-08-25,322.58605908379786,Delivered
35,8987,2024-09-17,805.7657655383604,Cancelled
36,8226,2024-01-15,421.4371681778501,Cancelled
37,165,2024-04-09,559.360000954465,Delivered
38,3679,2024-08-01,141.6610328973182,Pending
39,8578,2024-05-12,851.9887533595053,Shipped
40,10672,2024-12-07,488.1151570414236,Pending
41,3037,2024-05-24,644.0719227851623,Shipped
42,5088,2024-03-25,672.5889120134511,Shipped
43,1698,2024-04-19,281.50836787769424,Pending
44,2063,2024-08-02,797.0329436664912,Cancelled
45,1191,2024-07-10,834.6996657860718,Shipped
46,7175,2024-06-04,520.5964553753549,Delivered
47,5792,2024-08-07,903.3863932221644,Delivered
48,5554,2024-03-21,169.29003915788883,Pending
49,15069,2024-12-04,420.2871243469489,Cancelled
50,3457,2024-01-13,53.87673483944983,Pending
51,6675,2024-02-14,404.57713755424464,Shipped
52,11315,2024-10-16,997.0675467841954,Cancelled
53,16264,2024-08-26,468.5489029659486,Cancelled
54,11251,2024-06-30,425.01852540879895,Shipped
55,12562,2024-02-02,690.9433939785217,Shipped
56,10231,2024-04-20,58.120481713976005,Delivered
57,13945,2024-02-12,360.2297436705696,Pending
58,11170,2024-04-03,537.7406639979798,Shipped
59,1464,2024-12-12,489.2253509897315,Delivered
60,4794,2024-11-10,646.0520251873284,Shipped
61,3663,2024-05-07,147.54790312410765,Delivered
62,8106,2024-04-27,408.588095032703,Delivered
63,3470,2024-09-11,637.2607018470244,Pending
64,16346,2024-06-08,308.63381077579425,Pending
65,3710,2024-02-15,616.7514648504625,Shipped
66,14339,2024-09-11,958.7288017263595,Cancelled
67,11476,2024-05-01,931.0815860181514,Shipped
68,1429,2024-07-17,728.2583882950886,Cancelled
69,14404,2024-12-27,185.8527846825212,Pending
70,908,2024-07-20,786.401105527694,Pending
71,5691,2024-01-01,452.2374730006102,Delivered
72,14618,2024-03-20,952.2156588769018,Shipped
73,630,2024-04-14,615.306368100545,Shipped
74,15665,2024-06-04,225.44687636328803,Delivered
75,7159,2024-07-07,319.305331198574,Shipped
76,8142,2024-12-05,325.8677730506592,Shipped
77,1291,2024-03-19,283.52310583224266,Shipped
78,11401,2024-05-06,774.1033205702303,Delivered
79,8240,2024-04-03,343.3781404679586,Pending
80,7909,2024-09-24,203.6668139474316,Shipped
81,10090,2024-05-06,600.136095742516,Shipped
82,15269,2024-05-09,470.13078334963257,Shipped
83,2167,2024-07-20,31.946056255511728,Delivered
84,1811,2024-03-31,286.32585150278186,Shipped
85,10507,2024-01-21,47.810502933951234,Shipped
86,6914,2024-02-24,769.370369780711,Cancelled
87,769,2024-02-06,951.5145715015623,Delivered
88,1499,2024-03-26,505.16839723249404,Delivered
89,277,2024-10-21,562.5842902220318,Shipped
