customer_id,name,city,state,country,registration_date,is_active
0,Customer_0,Pune,Maharashtra,India,2023-05-17,True
1,Customer_1,Bangalore,Tamil Nadu,India,2023-11-29,True
2,Customer_2,Hyderabad,Maharashtra,India,2023-02-08,True
3,Customer_3,Bangalore,Maharashtra,India,2023-03-28,False
4,Customer_4,Ahmedabad,Karnataka,India,2023-06-04,False
5,Customer_5,Hyderabad,Tamil Nadu,India,2023-06-09,True
6,Customer_6,Pune,Telangana,India,2023-03-05,True
7,Customer_7,Ahmedabad,Karnataka,India,2023-08-11,False
8,Customer_8,Pune,Karnataka,India,2023-12-28,False
9,Customer_9,Mumbai,West Bengal,India,2023-12-12,False
10,Customer_10,Pune,Telangana,India,2023-05-26,False
11,Customer_11,Delhi,Karnataka,India,2023-07-23,True
12,Customer_12,Chennai,West Bengal,India,2023-03-08,True
13,Customer_13,Chennai,Maharashtra,India,2023-01-05,False
14,Customer_14,Hyderabad,Telangana,India,2023-02-28,True
15,Customer_15,Mumbai,Telangana,India,2023-03-17,True
16,Customer_16,Chennai,Maharashtra,India,2023-09-17,True
17,Customer_17,Hyderabad,Delhi,India,2023-09-05,False
18,Customer_18,Pune,Telangana,India,2023-01-16,False
19,Customer_19,Kolkata,Gujarat,India,2023-03-16,False
20,Customer_20,Hyderabad,Delhi,India,2023-12-22,True
21,Customer_21,Bangalore,Maharashtra,India,2023-06-25,False
22,Customer_22,Chennai,Tamil Nadu,India,2023-11-18,False
23,Customer_23,Chennai,Delhi,India,2023-05-16,True
24,Customer_24,Kolkata,Karnataka,India,2023-10-04,False
25,Customer_25,Pune,Telangana,India,2023-10-09,True
26,Customer_26,Delhi,Gujarat,India,2023-06-17,True
27,Customer_27,Ahmedabad,Delhi,India,2023-01-30,False
28,Customer_28,Hyderabad,Telangana,India,2023-11-18,False
29,Customer_29,Delhi,Maharashtra,India,2023-12-02,False
30,Customer_30,Hyderabad,Tamil Nadu,India,2023-09-26,True
31,Customer_31,Kolkata,Maharashtra,India,2023-01-01,True
32,Customer_32,Delhi,Tamil Nadu,India,2023-06-20,False
33,Customer_33,Mumbai,Telangana,India,2023-05-09,False
34,Customer_34,Kolkata,Delhi,India,2023-06-17,False
35,Customer_35,Pune,Karnataka,India,2023-03-02,True
36,Customer_36,Ahmedabad,Karnataka,India,2023-04-27,True
37,Customer_37,Hyderabad,Maharashtra,India,2023-11-18,True
38,Customer_38,Bangalore,Telangana,India,2023-05-03,True
39,Customer_39,Pune,Tamil Nadu,India,2023-09-17,True
40,Customer_40,Pune,Delhi,India,2023-08-14,True
41,Customer_41,Bangalore,Gujarat,India,2023-10-19,False
42,Customer_42,Bangalore,Tamil Nadu,India,2023-12-18,False
43,Customer_43,Hyderabad,Tamil Nadu,India,2023-07-05,False
